model,technique,task,metric,value
KNN,sb,duration,MAE,219.3296
KNN,sb,duration,R2 Score,-0.4098
KNN,sb,ec,accuracy,0.72
KNN,sb,ec,precision,0.62
KNN,sb,ec,recall,0.66
KNN,sb,ec,f1-score,0.63
KNN,sb,pclass,accuracy,0.74
KNN,sb,pclass,precision,0.6
KNN,sb,pclass,recall,0.53
KNN,sb,pclass,f1-score,0.51
RF,hpcb-multitask_anon_template1,avgpcon,MAE,29.4134
RF,hpcb-multitask_anon_template1,avgpcon,R2 Score,
RF,hpcb-multitask_anon_template1,duration,MAE,241.0741
RF,hpcb-multitask_anon_template1,duration,R2 Score,
RF,hpcb-multitask_anon_template1,ec,accuracy,0.9
RF,hpcb-multitask_anon_template1,ec,precision,0.9
RF,hpcb-multitask_anon_template1,ec,recall,0.75
RF,hpcb-multitask_anon_template1,ec,f1-score,0.8
RF,hpcb-multitask_anon_template1,pclass,accuracy,0.76
RF,hpcb-multitask_anon_template1,pclass,precision,0.68
RF,hpcb-multitask_anon_template1,pclass,recall,0.63
RF,hpcb-multitask_anon_template1,pclass,f1-score,0.64
RF,int_anon,avgpcon,MAE,24.3255
RF,int_anon,avgpcon,R2 Score,0.3044
RF,int_anon,duration,MAE,298.0089
RF,int_anon,duration,R2 Score,-0.8514
RF,int_anon,ec,accuracy,0.73
RF,int_anon,ec,precision,0.41
RF,int_anon,ec,recall,0.46
RF,int_anon,ec,f1-score,0.43
RF,int_anon,pclass,accuracy,0.74
RF,int_anon,pclass,precision,0.57
RF,int_anon,pclass,recall,0.51
RF,int_anon,pclass,f1-score,0.45
RF,sb_anon,avgpcon,MAE,31.8202
RF,sb_anon,avgpcon,R2 Score,0.098
RF,sb_anon,duration,MAE,382.9807
RF,sb_anon,duration,R2 Score,-0.5201
RF,sb_anon,ec,accuracy,0.89
RF,sb_anon,ec,precision,0.9
RF,sb_anon,ec,recall,0.75
RF,sb_anon,ec,f1-score,0.79
RF,sb_anon,pclass,accuracy,0.78
RF,sb_anon,pclass,precision,0.83
RF,sb_anon,pclass,recall,0.57
RF,sb_anon,pclass,f1-score,0.56
RF,sb_anon_template1,avgpcon,MAE,36.6092
RF,sb_anon_template1,avgpcon,R2 Score,-0.0083
RF,sb_anon_template1,duration,MAE,567.9892
RF,sb_anon_template1,duration,R2 Score,-1.5624
RF,sb_anon_template1,ec,accuracy,0.81
RF,sb_anon_template1,ec,precision,0.81
RF,sb_anon_template1,ec,recall,0.52
RF,sb_anon_template1,ec,f1-score,0.49
RF,sb_anon_template1,pclass,accuracy,0.75
RF,sb_anon_template1,pclass,precision,0.85
RF,sb_anon_template1,pclass,recall,0.52
RF,sb_anon_template1,pclass,f1-score,0.47
RF,sb_anon_template2,avgpcon,MAE,33.2892
RF,sb_anon_template2,avgpcon,R2 Score,0.0767
RF,sb_anon_template2,duration,MAE,502.3266
RF,sb_anon_template2,duration,R2 Score,-1.437
RF,sb_anon_template2,ec,accuracy,0.87
RF,sb_anon_template2,ec,precision,0.91
RF,sb_anon_template2,ec,recall,0.66
RF,sb_anon_template2,ec,f1-score,0.71
RF,sb_anon_template2,pclass,accuracy,0.78
RF,sb_anon_template2,pclass,precision,0.86
RF,sb_anon_template2,pclass,recall,0.57
RF,sb_anon_template2,pclass,f1-score,0.56
RF,sb_anon_template3,avgpcon,MAE,37.9765
RF,sb_anon_template3,avgpcon,R2 Score,-0.0948
RF,sb_anon_template3,duration,MAE,673.6687
RF,sb_anon_template3,duration,R2 Score,-2.2323
RF,sb_anon_template3,ec,accuracy,0.79
RF,sb_anon_template3,ec,precision,0.45
RF,sb_anon_template3,ec,recall,0.49
RF,sb_anon_template3,ec,f1-score,0.45
RF,sb_anon_template3,pclass,accuracy,0.75
RF,sb_anon_template3,pclass,precision,0.8
RF,sb_anon_template3,pclass,recall,0.51
RF,sb_anon_template3,pclass,f1-score,0.46
RF,sb_anon_template4,avgpcon,MAE,35.1433
RF,sb_anon_template4,avgpcon,R2 Score,-0.01
RF,sb_anon_template4,duration,MAE,454.1673
RF,sb_anon_template4,duration,R2 Score,-0.8393
RF,sb_anon_template4,ec,accuracy,0.9
RF,sb_anon_template4,ec,precision,0.88
RF,sb_anon_template4,ec,recall,0.78
RF,sb_anon_template4,ec,f1-score,0.82
RF,sb_anon_template4,pclass,accuracy,0.78
RF,sb_anon_template4,pclass,precision,0.84
RF,sb_anon_template4,pclass,recall,0.58
RF,sb_anon_template4,pclass,f1-score,0.57
RF,sb_anon_template5,avgpcon,MAE,33.4288
RF,sb_anon_template5,avgpcon,R2 Score,0.0567
RF,sb_anon_template5,duration,MAE,429.2241
RF,sb_anon_template5,duration,R2 Score,-0.5993
RF,sb_anon_template5,ec,accuracy,0.85
RF,sb_anon_template5,ec,precision,0.83
RF,sb_anon_template5,ec,recall,0.63
RF,sb_anon_template5,ec,f1-score,0.67
RF,sb_anon_template5,pclass,accuracy,0.79
RF,sb_anon_template5,pclass,precision,0.82
RF,sb_anon_template5,pclass,recall,0.6
RF,sb_anon_template5,pclass,f1-score,0.6
RF,sb_anon_template6,avgpcon,MAE,37.9513
